Cartoon AO3;MLP;Voltron;VLD;Daria;PPG;Invader Zim;Kim Possible;Teen Titans;Danny Phantom;AtLA;LoK;AtLA / LoK;Total Drama;Gravity Falls;SU;MLB;SVFoE;SPoP
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Oct 5, 09;0;0;;4;0;0;0;2;0;2;0;2;0;;;;;
;;;;;;;;;;;;;;;;;;
Mar 29, 10;2;13;;10;0;1;5;68;12;227;0;227;3;;;;;
Jun 13, 10;2;13;;11;1;1;5;80;12;269;0;269;3;;;;;
Sep 22, 10;3;59;;11;8;1;7;90;23;333;0;333;3;;;;;
Oct 25, 10;3;61;;11;12;1;7;117;26;400;0;400;3;;;;;
Nov 28, 10;4;64;;12;12;2;7;117;26;419;0;419;3;;;;;
Jul 11, 11;13;71;;32;17;6;10;186;35;706;2;708;4;;;;;
Aug 14, 11;18;74;;33;20;6;11;192;37;736;2;738;4;;;;;
Sep 24, 11;29;172;;33;21;7;22;200;36;779;6;785;4;;;;;
Oct 24, 11;32;173;;35;22;9;26;204;37;822;10;832;3;;;;;
Jan 14, 12;61;176;;39;25;12;24;215;42;936;12;948;4;;;;;
;;;;;;;;;;;;;;;;;;
May 18, 12;108;179;;49;26;51;30;264;49;1,125;215;1,340;3;;;;;
Jun 6, 12;111;180;;49;27;53;32;272;51;1,166;298;1,464;3;;;;;
Jul 26, 12;130;181;;59;29;71;44;293;69;1,364;667;2,031;6;2;;0;;
Oct 5, 12;157;184;;71;30;86;48;325;80;1,539;851;2,390;7;11;;5;;
Jan 16, 13;223;188;;79;30;97;74;423;109;1,881;1,060;2,941;12;39;;8;;
;;;;;;;;;;;;;;;;;;
Jun 22, 13;289;199;;113;37;124;116;511;212;2,270;1,441;3,711;23;73;;9;;
Oct 9, 13;352;210;;289;50;138;137;566;258;2,523;1,587;4,110;64;145;;9;;
Dec 16, 13;433;210;;294;57;142;143;602;294;2,642;1,664;4,306;88;160;2;9;;
Jan 22, 14;476;208;;298;60;153;152;622;332;2,701;1,706;4,407;98;154;2;9;;
Apr 4, 14;537;215;;298;69;158;167;673;390;2,850;1,791;4,641;112;163;10;10;;
